age,education,education-num,marital-status,occupation,relationship,race,sex
39,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male
50,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
38,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male
53,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male
28,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female
37,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female
49,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female
52,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male
31,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female
42,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male
37,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male
30,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male
23,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female
32,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male
40,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male
34,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male
25,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male
32,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male
38,11th,7,Married-civ-spouse,Sales,Husband,White,Male
43,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female
40,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male
54,HS-grad,9,Separated,Other-service,Unmarried,Black,Female
35,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male
43,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male
59,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female
56,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male
19,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male
54,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male
39,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male
49,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
23,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male
20,Some-college,10,Never-married,Sales,Own-child,Black,Male
45,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male
30,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male
22,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male
48,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male
21,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male
19,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female
31,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male
48,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male
31,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
53,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male
24,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male
49,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female
25,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male
57,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male
53,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
44,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female
41,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male
29,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male
25,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female
18,HS-grad,9,Never-married,Other-service,Own-child,White,Female
47,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female
50,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male
47,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male
43,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male
46,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
35,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male
41,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male
30,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male
30,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male
32,7th-8th,4,Married-spouse-absent,?,Not-in-family,White,Male
48,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male
42,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male
29,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male
36,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male
28,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female
53,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female
49,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male
25,Some-college,10,Never-married,?,Own-child,White,Male
19,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male
31,Bachelors,13,Separated,Sales,Own-child,Black,Female
